Last Scan:	2025-09-13 16:04:21
Files found:	27
For best results download these files with FTP at ftp://winxp.retro-os.live or Hotline at winxp.retro-os.live
WinXP City Latest Files v1.2.11
===================================================
Upload Date			Size		File Name
-------------			---------	----------
Sat Sep 13 05:31:34 2025	184B		Get Custom Username.txt
Sat Sep 13 05:32:13 2025	319MB		Other Versions of Windows/Microsoft Windows 2000 Professional (5.00.2195.6717.sp4).7z
Sat Sep 13 06:17:59 2025	5.5GB		Other Versions of Windows/Win10_22H2_English_x64v1.iso.7z
Sat Mar  1 01:00:43 2025	3.66GB		Other Versions of Windows/Win8.1_English_x64.iso.7z
Sat Sep 13 05:32:10 2025	2.2GB		Other Versions of Windows/Windows 7 Home Premium 32-bit.iso.zip
Sat Sep 13 05:31:50 2025	521MB		Other Versions of Windows/Windows 98 Second Edition.iso.7z
Sat Jun 28 21:14:24 2025	44B		Other Versions of Windows/Windows 98 Second Edition_SerNum.txt
Thu Feb 27 03:56:57 2025	312B		Other Versions of Windows/Windows_7_Activation_Keys.txt
Thu Feb 27 05:23:35 2025	302B		Other Versions of Windows/Windows_8.1_Pro_64bit_SerNum.txt
Sat Sep 13 05:31:43 2025	20.3MB		Windows XP/Games/PySolFC/PySolFC_2.8.0_setup.exe
Sat Sep 13 05:31:43 2025	430KB		Windows XP/Games/SimGolf/Sid-Meier-s-SimGolf_Patch_Win_EN_Patch-v103.zip
Sat Sep 13 05:31:43 2025	1.6MB		Windows XP/Games/SimGolf/Sid-Meiers-SimGolf_Patch_Win_EN_Patch-v102.exe
Sat Sep 13 05:31:45 2025	197MB		Windows XP/Games/SimGolf/SimGolf.iso.7z
Sat Sep 13 05:31:42 2025	1.01MB		Windows XP/Games/WinACE/WinACE-2.5.75-patch.zip
Sat Sep 13 05:31:43 2025	7.4MB		Windows XP/Games/WinACE/winace-2.5.74-full.zip
Sat Sep 13 05:31:37 2025	7.2MB		Windows XP/Important Utilities/Antivirus/avg_antivirus_free_setup.exe
Sat Sep 13 05:31:36 2025	30.9MB		Windows XP/Important Utilities/Chat/pidgin-2.14.14-offline.exe
Sat Sep 13 05:31:37 2025	70.9MB		Windows XP/Important Utilities/Chat/psi-plus-portable-1.5.1487_winxp.7z
Sat Sep 13 05:31:37 2025	1.09MB		Windows XP/Important Utilities/Compression/9.22_7z922.exe
Sat Sep 13 05:31:37 2025	696KB		Windows XP/Important Utilities/Compression/winzip20xp.exe
Sat Sep 13 05:31:37 2025	9.49MB		Windows XP/Important Utilities/Email/eudora-8-0-0-beta-9-Eudora-8.0b9.en-US.win32.installer.exe
Sat Sep 13 05:31:34 2025	1.52MB		Windows XP/Important Utilities/File Sharing/HLclient_Windows.zip
Sat Sep 13 05:31:35 2025	3.94MB		Windows XP/Important Utilities/IRC/mirc781.exe
Sat Sep 13 05:31:34 2025	8.13MB		Windows XP/Important Utilities/Terminal Emulators/SyncTERM-1.6-setup.exe
Sat Sep 13 05:31:35 2025	94.1MB		Windows XP/Important Utilities/Web Browsers/supermium_122_32_setup.exe
Thu Feb 27 03:59:46 2025	32B		Windows XP/OS Images/Windows_XP_Activation_Keys.txt
Sat Sep 13 05:31:42 2025	539MB		Windows XP/OS Images/Windows_XP_Professional_32bit.iso.7z
